store_name,city_name,full_address,Coordinates(Longtude/Latitude),phone_no,store_timing
 Vishal Mega Mart ,Cuttack," Bajrakabati Road, Raj Path Road, Manglabagh, Cuttack, Odisha 753001","20.4660806,85.8863051",0721 7888 352 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,K.v.rangareddy," Mansoorbad, Chinthala Kunta Road, Opposite Radio Station, Hayathnagar, K.v.rangareddy, Telangana 500070","17.3412698,78.5618542",0630 5528 271 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Plot No 31, Teachers Colony, Saga Road, BN Reddy Nagar, Hasthinapuram South, Beside Bawarchi Restaura, Hastinapuram, Hyderabad, Telangana 500070","17.3268542,78.5560748",0931 5913 442 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hyderabad," Shop No 2 and 3, RCI Road, Meerpet, Hyderabad, Telangana 500058","17.3221339,78.5204153",0962 5215 635 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bardhaman," JL No 167, Parganas, Ambika, Near FCI Station Road, Kalna, Bardhaman, West Bengal 713409","23.2136103,88.3564184",0828 7940 890 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Khorda," Shop No, 240, Block N3-N5, Jayadev Vihar Road, IRC Village, Jayadev Vihar, Bhubaneswar, Khorda, Odisha 751013","20.2936805,85.8129065",0721 7888 353 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Khorda," Infront of Shani Mandir, Patrapara, National Highway 5, Near Hotel Suncity, Bhubaneswar, Khorda, Odisha 751019","20.2440276,85.7705016",0870 0298 035 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Khorda," Venus Plaza, Rasulgarh Industrial Sector, New Colony, Rasulgarh, Bhubaneswar, Khorda, Odisha 751007","20.2987431,85.8618464",0931 5913 449 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Howrah," Shyampur Road, Bagnan Howrah, Khalore, Next to Railway Flyover, Bagnan, Howrah, West Bengal 711303","22.4599092,87.9749952",0935 4951 187 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hooghly," Shop No 260, Mankundu Station Road, Sambhu More, Chandannagar, Hooghly, West Bengal 712136","22.845631,88.3570189",0962 5215 638 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," B-Mall, Station Road, Kanchrapara, Near College More, Kanchrapara, North 24 Parganas, West Bengal 743145","22.9485065,88.442277",0817 8809 416 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ganjam," Church Road, Brahmapur, Ganjam, Odisha 760001","19.3119413,84.7930655",0721 7888 237 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nadia," Near Singer Petrol Pump, Chatimtala, Chakdah, Nadia, West Bengal 741222","23.077252,88.5438534",0797 9039 535 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kendrapara," Law College Road, Cuttack - Kendrapada Road, Opposite Reliance Petrol Pump, Duhuria, Kendrapara, Odisha 754250","20.51566,86.38847",0845 6925 070 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Dhubri," Jain Cakes, Chairman Road, Mahamaya Lane, Opposite Shani Mandir, Nuniapatty, Dhubri, Assam 783301","26.0181412,89.9823975",0817 8037 084 ,09:00 AM to 09:00 PM
 Vishal Mega Mart ,Rishra," Unnamed Road, Dharmadanga, Kali Tala, Grand Trunk Road, Opposite Reliance Petrol Pump, Baghkhal, Rishra, West Bengal 712248","22.71565,88.35508",0906 2826 002 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Hooghly," Regent Ganga, Uttarpara, Hooghly, West Bengal 712233","22.6815634,88.3537949",0935 4575 138 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Khammam," Bypass Road, Vijaynagar Colony 2, Opposite RTO Office Junction, Dwaraka Nagar, Khammam, Telangana 507002","17.2606183,80.154374",0828 7923 199 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," Shop No 92F, Prithvi Plaza, Bt Road, Opposite Texmaco Ltd, Kamarhati, North 24 Parganas, West Bengal 700058","22.6817752,88.3753583",0721 7888 015 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," Mitrangan, HB Town, Sodepur Road, Kathghola, Opposite Padma Cinema Sodepur, Sodepur, North 24 Parganas, West Bengal 700110","22.6954948,88.3978237",0721 7887 953 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nalgonda," Barlapenta Bazaar, Old Bus Stand, Navya Theatre Road, Opposite Venkateshwar Swamy Temple, Suryapet, Nalgonda, Telangana 508213","17.1402988,79.6165856",0984 8926 444 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," Sodepur Barasat Road, Banquet Hall, Opposite Sanai Marriage Hall, Madhyamgram, North 24 Parganas, West Bengal 700130","22.6968244,88.4460565",0721 7887 954 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," Shop No 59, Jessore Road, Champadali, Barasat, North 24 Parganas, West Bengal 700124","22.7174358,88.4838948",0721 7888 014 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," VIP Road, Baguihati, Jyangra, North 24 Parganas, West Bengal 700059","22.6163503,88.4320214",0721 7888 016 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," Ramesh Mitra Road, Narayanpur Bazaar, Near 217 Bus Stand, Narayanpur, North 24 Parganas, West Bengal 700136","22.645298,88.4607585",0931 1955 742 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South 24 Parganas," Ground Floor, Regent Super Market, Bus Stand, Near CTC, Amtala, South 24 Parganas, West Bengal 743337","22.3679324,88.271314",0721 7888 479 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kokrajhar," Jwhwlao Dwimalu Road, Near Indian Oil Petrol Pump, Boro Bhatarmari, Kokrajhar, Assam 783370","26.4187902,90.2783076",0782 7968 057 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Puri," Medical Square, Opposite Canara Bank, Balagandi, Puri, Odisha 752001","19.8127814,85.8309697",0721 7887 940 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North 24 Parganas," Shop No 308/143, Jessore Road, West Kamarthuba Road, Supermarket, Habra Bazar Lane Number 3, Near Joygachi, Habra, North 24 Parganas, West Bengal 743263","22.8488247,88.6637238",0888 2035 500 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bijapur," Near Gobbur Hospital, Beside Balaji Hpcl Petrol Pump, Vijayapura, Bijapur, Karnataka 586101","16.8376759,75.714479",0721 7888 419 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Mahabubnagar," Shareef Complex, Prashanth Residency, Raichur Road, Opposite Sindhu Hotel, Kidwaipet, Mahabubnagar, Telangana 509001","16.7496842,77.9939658",0828 7947 113 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Srikakulam," Kiims Road, Srikakulam, Near Prakruti Avenue, Byrivanipeta, Srikakulam, Andhra Pradesh 532005","18.3039909,83.8766235",0817 8024 164 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bongaigaon," Chapaguri Road, North Bongaigaon, Near BOC Gate, Amguri, Bongaigaon, Assam 783380","26.48677,90.5517096",0721 7888 132 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Visakhapatnam," Chinamushidivada, Municipal Corporation Area, Ganesh Nagar, Beside to ION Digital Building, Pendurthi, Visakhapatnam, Andhra Pradesh 531173","17.8073544,83.2086898",0931 1713 433 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Goalpara," BOC, Baladmari, Geetanagar, Goalpara, Assam 783101","26.1631265,90.6246608",0721 7888 233 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Visakhapatnam," GNT Road, Besides Satyanarayana Theater, Anakapalle, Visakhapatnam, Andhra Pradesh 531001","17.6872478,83.0138285",0829 7000 999 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,visakhapatnam," Kurmannapalem, Beside Annapurna Theater, Theater, visakhapatnam, Andhra Pradesh 530046","17.6862536,83.1663639",0756 9504 057 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Godavari," VL Puram, Beside Chakradhar Hospital, Rajahmundry, East Godavari, Andhra Pradesh 533106","16.9990714,81.7958392",0837 4933 453 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Barpeta," Main Road, Barpeta Road, Opposite Police Station, Barpeta Road, Barpeta, Assam 781315","26.4980643,90.9681627",0721 7888 043 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Raichur," Arab Mohalla, Androon Quilla, Near Hotel Cm Residency, Androon Quilla, Raichur, Karnataka 584101","16.2067959,77.3555426",0721 7888 433 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Krishna," Eleru Road, Gunadala, Near Esi Bus Stop, Vijayawada, Krishna, Andhra Pradesh 520004","16.5229916,80.6667157",0996 6331 182 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bagalkot," Nehru Road, Near Melligeri Towers, Kaulpet, Bagalkot, Karnataka 587101","16.18208,75.699661",0959 1552 192 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,East Godavari," Gokulam Street, Ashok Nagar, Near Gokulam Tample, Kakinada, East Godavari, Andhra Pradesh 533003","16.9811861,82.2286932",0973 1954 359 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Krishna," Panta Kaluva Road, Postal Colony Road, Patamata, Vijayawada, Krishna, Andhra Pradesh 520010","16.4966539,80.6641169",0828 7515 525 ,08:00 AM to 09:00 PM
 Vishal Mega Mart ,Guntur," Amaravathi Road, Nagaral, Near Bandlamudi Garden, Panduranga Nagar, Guntur, Andhra Pradesh 522002","16.3240485,80.4376791",0870 0278 005 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Krishna," Satyanarayana Puram, Opposite Rtc Bus Stand, Gudivada, Krishna, Andhra Pradesh 521301","16.4302192,80.99864",0998 9335 219 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Godavari," Tatavarthy Vari Street, Gandhinagar, Beside LDBI Bank, Bhimavaram, West Godavari, Andhra Pradesh 534201","16.5422844,81.5253792",0991 2981 007 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kurnool," Venkata Ramana Colony, Main Road, Beside Santhosh Nagar Flyover, Svr Colony, Kurnool, Andhra Pradesh 518001","15.8352973,78.0163953",0960 3782 603 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nalbari," Bharatiya Cinema Hall, Paikarkuchi, Nalbari, Assam 781335","26.450409,91.4475856",0721 7888 385 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Guntur," Pandri Puram NRT Center, Venugonda, Chilakaluripet, Guntur, Andhra Pradesh 522616","16.0940715,80.1650197",0935 4938 578 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kurnool," Adoni Bypass Road, Beside Laxman Theatre, Yemmiganur, Kurnool, Andhra Pradesh 518360","15.76159,77.47079",0805 0960 268 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Kamrup," Goalpara Road, Near Bijoy Nagar Police Post, Bijoynagar, Kamrup, Assam 781122","26.0986083,91.5009675",0817 8813 726 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Krishna," Ramanaidupeta, Near Revathi Theatre, Machilipatnam, Krishna, Andhra Pradesh 521001","16.1842499,81.1360864",0817 8025 807 ,09:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," Bhutan Road, Near ICICI Bank, Rangia, Kamrup, Assam 781354","26.4457055,91.6193187",0936 5030 483 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Belgaum," 100 Feet Kanbergie Road, Near Nandini Dairy, Mahantesh Nagar, Belgaum, Karnataka 590016","15.8726506,74.5342799",0935 4938 572 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kurnool," New Goverment Area Hospital, GH Road, Adoni, Kurnool, Andhra Pradesh 518002","15.623136,77.2699306",0859 5939 567 ,08:00 AM to 09:00 PM
 Vishal Mega Mart ,Prakasam," Sypai Peta, Jandrapeta, Near Hyma Hospital, Chirala, Prakasam, Andhra Pradesh 523155","15.8130295,80.3404239",0630 1852 279 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," Amaze Shopping Mall, Guwahati, Kamrup, Assam 781001","26.1799619,91.7460485",0721 7888 071 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," Lakhra Road, Kala Pahar, Colony Bazar, Near Subham, Garden, Opposite Pragati Tower, Guwahati, Kamrup, Assam 781018","26.1511829,91.7411404",0721 7888 038 ,09:00 AM to 04:00 PM
 Vishal Mega Mart ,Kamrup," Royal Regency, Mrd Road,bamunimaidan, Guwahati, Guwahati, Kamrup, Assam 781021","26.1844686,91.7899149",0962 5215 618 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," Protech Centre, Ganeshguri, Mouza Village, Beltola Tiniali, Guwahati, Kamrup, Assam 781005","26.1491273,91.7863331",0721 7888 187 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," GS Road, Opposite Dispur Fire Station, Guwahati, Kamrup, Assam 781006","26.1402914,91.7973444",0789 6826 918 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," In Matrix Mall, Opposite Sankaradeva Nethralaya, Beltola, Kamrup, Assam 781028","26.1201157,91.797826",0817 8812 508 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Koppal," Shop C-5, Near Paddgodi Garden, Gangavathi, Koppal, Karnataka 583227","15.4430362,76.5039763",0817 8024 160 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kamrup," Chandrapur Road, Opposite Narengi Bazar, Narengi, Kamrup, Assam 781026","26.1810789,91.8329118",0903 6641 463 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Gadag," PB Road, Mahaveer Colony, Tanga Koot, Gadag-Betageri, Near Bhishma Lake, Tanga Koot, Gadag, Karnataka 582101","15.4235708,75.632874",0817 8025 473 ,09:00 AM to 09:00 PM
 Vishal Mega Mart ,Darrang," Udalguri-Tamulpur Road, Near Bus Stand, Udalguri, Darrang, Assam 784509","26.7530832,92.096245",0881 1080 176 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dharwad," Gandhi Nagar Cross, Opposite ICICI Bank, Gandhi Nagar, Dharwad, Karnataka 580006","15.4358376,75.0216061",0998 0952 095 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bellary," Dam Road, Jain Colony, Near City Hospital, Hosapete, Bellary, Karnataka 583203","15.2625336,76.3817173",0916 4013 389 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dharwad," Kusugal Road, Beside Royal Enfield Showroom, Hubli, Dharwad, Karnataka 580023","15.3649624,75.1594842",0817 8024 063 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dharwad," Hubali Centre Mall, Nh-4, Vidya Nagar, Besides Sushritha Hospital, Hubli, Dharwad, Karnataka 580021","15.3639223,75.125529",0721 7888 072 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Darrang," Nageshwar Chowk, Near Assam Gramin Vikash Bank, Kharupetia, Darrang, Assam 784115","26.5147608,92.1389644",0600 1408 530 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Khasi Hills," Jail Road, Police Bazar, Shillong, East Khasi Hills, Meghalaya 793001","25.5776967,91.8835337",0721 7888 034 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,East Khasi Hills," Demseiniong, Near Neepco Office, Shillong, East Khasi Hills, Meghalaya 793011","25.5799713,91.8977538",0124 4555 100 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bellary," Hosapete Road, Near Vijayalaxmi Theater, Toranagallu, Bellary, Karnataka 583123","15.1997806,76.6684185",0916 4013 389 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ballari," Anjali Arcade, Kappagal Road, Opposite Law College, Besides Krishna Temple, Gandhi Nagar, Ballari, Karnataka 583103","15.154699,76.9315944",0931 5961 619 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,West Tripura," Hari Ganga Basak Road (HGB Road), Melar Math, Opposite SBI Main Branch, Agartala, West Tripura, Tripura 799001","23.8287937,91.2740111",0828 7515 524 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North Goa," Samrat Ashok Theatre Complex, 18th June Road, Santa Inez, Panjim, North Goa, Goa 403001","15.4972295,73.8241312",0721 7888 453 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Goa," Prabhu Emerald Complex, Debolim, Dabolim, South Goa, Goa 403803","15.3911605,73.8489172",0721 7887 941 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,South Goa," Aquem Power House, Near Anthony Chapel, Margao, South Goa, Goa 403601","15.272296,73.9766335",0721 7888 438 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Jaintia Hills," Mooralong, Near SBI Bank, Jowai, Jaintia Hills, Meghalaya 793150","25.4558232,92.2044987",0872 1846 747 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ananthapur," Sai Prashanthi Apartments Nandyal Road, Tadipatri, Ananthapur, Andhra Pradesh 515411","14.9136231,78.0157699",0817 8024 094 ,09:00 AM to 09:00 PM
 Vishal Mega Mart ,Marigaon," Itachali Post Office, Assam Trunk Road, Near Oddssi Cinema Hall, Nagaon, Marigaon, Assam 782001","26.3546916,92.6942682",0721 7888 129 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Cuddapah," Gandhi Road, Beside Nagadastigiri Reddy Hospital, Proddatur, Cuddapah, Andhra Pradesh 516360","14.7539493,78.549437",0855 5916 928 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ananthapur," Ramachandra Nagar, Ramachandra Nagar, Ananthapur, Andhra Pradesh 515001","14.6879575,77.5989437",0817 8025 738 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Sonitpur," Victoria Street, Mahabhairab, Near Bsnl Office, Tezpur, Sonitpur, Assam 784001","26.6266145,92.7899406",0721 7888 133 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Sonitpur," Civil Hospital Road, Near Madhav Dham, Tezpur, Sonitpur, Assam 784001","26.6307387,92.7972135",0888 2035 495 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nellore," Trunk Road, Near TVS Showroom, Kavali, Nellore, Andhra Pradesh 524201","14.9008158,79.99237",0800 8040 820 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,North Tripura," Auto Stand, Nayapara Road, Near Nayapara, Dharamnagar, North Tripura, Tripura 799250","24.3831812,92.1658831",0935 4951 158 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Karimganj," Chandraj Plaza, Station Road, Subhash Nagar, Karimganj, Assam 788710","24.8637164,92.3691979",0721 7888 137 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Haveri," Survey No 794A/5A+5V and 794A/5A+5B/2, Medleri Road, Ashok Nagar, Ranebennur, Haveri, Karnataka 581115","14.6166588,75.6359237",0859 5939 573 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nagaon," JK Kedia, Main Road, Near Assam Oil Petrol Pump, Hojai, Nagaon, Assam 782435","26.0087153,92.8588355",0721 7888 183 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Davangere," Hadadi Road, Shrinivaasa Nagara, Vidyanagar, Davangere, Karnataka 577002","14.4427471,75.9216919",0721 7888 375 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Cuddapah," RTC Bus Stand, Maruthi Nagar, Near Bus Stand, Kadapa, Cuddapah, Andhra Pradesh 516003","14.4661231,78.8294577",0859 5918 004 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Sonitpur," Sundarpur, Pavoi Road, Biswanath Charali, Sonitpur, Assam 784176","26.754068,93.153238",0962 5215 620 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Cachar," Vivekananda Road, Near Boikanta Cinema Hall, Hailakandi, Cachar, Assam 788151","24.6807664,92.5670318",0967 8296 179 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Chitradurga," VP Extension Road, Near Punjab National Bank, Maniyur, Chitradurga, Karnataka 577501","14.2285116,76.404215",0740 6660 632 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nellore," Mini Bypass Road, Opposite TDP Office, Dargamitta, Nellore, Andhra Pradesh 524003","14.43797,79.98344",0970 3105 665 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Cachar," Central Road, Silchar, Cachar, Assam 788001","24.8251665,92.8008005",0721 7888 074 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Papum Pare," National Highway 415, Itanagar, Papum Pare, Arunachal Pradesh 791111","27.0984545,93.6262769",0721 7888 166 ,09:00 AM to 07:00 PM
 Vishal Mega Mart ,Sonitpur," Purupbari Gate, Near BPCL Petrol Pump, Gohpur, Sonitpur, Assam 784168","26.8749408,93.6006349",0870 0280 773 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Cuddapah," Main Road, Masapet, National Highway 40, Opposite Collector Bangla, Rayachoty, Cuddapah, Andhra Pradesh 516270","14.06988,78.75292121",0890 4518 395 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Lower Subansiri," Siiring Pakho Colony, Near D K G H S School, Ziro, Lower Subansiri, Arunachal Pradesh 791120","27.5440452,93.8191845",0700 2613 944 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Karbi Anglong," MG Road, Galaxy Cinema, Opposite Karbi Anglong Autonomous Council, Diphu, Karbi Anglong, Assam 782460","25.840332,93.4379921",0721 7888 483 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Aizawl," Old Don Bosco School, Aizawl-Lunglei Road, Bawngkawn, Aizawl, Bawngkawn, Aizawl, Mizoram 796014","23.7533436,92.7324636",0721 7887 955 ,09:00 AM to 07:00 PM
 Vishal Mega Mart ,Shivamogga," Alkola Circle, 100 Ft Road, Near LIC Office, Gadikoppa, Shivamogga, Karnataka 577204","13.940752,75.545956",0935 4575 135 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ananthapur," VD Road, Besides Current Office, Hindupur, Ananthapur, Andhra Pradesh 515201","13.8271072,77.4931457",0818 5062 434 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Shimoga," BH Road, Opposite Manjunatha Kalayana Mandapa, Bhadravati, Shimoga, Karnataka 577245","13.8440295,75.6942751",0870 0280 230 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dimapur," Churches Colony, Notun Bosti, National Highway 36, Near City Tower Circle, Khermahal, Dimapur, Nagaland 797112","25.91226,93.7207184",0721 7888 040 ,09:00 AM to 07:00 PM
 Vishal Mega Mart ,Lakhimpur," Uday Tower, Dk Road, North Lakhimpur, Near SBI Bank, North Lakhimpur, Lakhimpur, Assam 787001","27.2353862,94.1050927",0721 7888 382 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Golaghat," New Amolapatty, Panch Ali, Golaghat, Assam 785621","26.5112003,93.9760204",0721 7888 373 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Chittoor," Kadiri Road, Madanapalli, andhra Pradesh, Opposite Judge Bungalow, Madanpalli, Chittoor, Andhra Pradesh 517325","13.5581589,78.4999262",0888 2206 945 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Chittoor," Sri Krishna Nagar, Opposite to Mahila University Main Gate, Tirupati, Chittoor, Andhra Pradesh 517502","13.6178521,79.402023",0630 1753 072 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Jorhat," Near Lahoty Petrol Pump, Opposite Gurudwara, Garali, Jorhat, Assam 785001","26.7532498,94.2192476",0721 7888 041 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Chikkaballapur," BB Road, Near Yamaha Bike Showroom, Chik Ballapur, Chikkaballapur, Karnataka 562101","13.4176638,77.7286384",0931 1713 437 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Tumkur," Plot No 35, Bengaluru - Honnavar Road, Near Dominos Pizza, Tumkur, Tumkur, Karnataka 572101","13.329603,77.1293119",0721 7888 073 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kohima," Plot No 1826, High School Junction, Near Popular Bakery, Mohon Khola, Kohima, Nagaland 797001","25.6891911,94.0985202",0721 7888 185 ,09:00 AM to 07:00 PM
 Vishal Mega Mart ,Wokha," AR Road, Tsumang- A, Doyang H Project, Wokha, Nagaland 797111","26.0952797,94.2531144",0881 2007 122 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Chickmagalur," KM Road, Opposite Apmc Market, Joythinagar, Chickmagalur, Karnataka 577101","13.3308915,75.7899209",0998 0477 391 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Dhemaji," Dhemaji Station Road, Ram Nagar, Dhemaji, Assam 787057","27.4768092,94.5587582",0782 7049 851 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Imphal East," Indo-Myanmar Road, National Highway 39, Adjacent Axis and HDFC Bank, Chingmeirong, Imphal East, Manipur 795010","24.8277607,93.9448529",0721 7888 184 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Imphal West," Kumecs City Centre, Manipur, Kakwa, Imphal West, Manipur 795003","24.7697528,93.9367848",0931 8492 866 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Udupi," Gundibail Road ,Adjacent Indian Oil Fuel Station, Gundibail, Udupi, Karnataka 576102","13.3554173,74.7511777",0870 0280 704 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Sibsagar," Shop No 13, Mouza Nagarmahal, Assam Trunk Road, Sivasagar, Sibsagar, Assam 785640","26.995227,94.6444206",0721 7888 186 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Chittoor," Vellore Road, Opposite Venkateshwar Theater, Mittoor, Chittoor, Andhra Pradesh 517002","13.2079409,79.0989907",0782 7049 848 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Kolar," MB Road, Near Bescom, Keelu Kote, Kolar, Karnataka 563101","13.1290206,78.11923",0916 4242 096 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bengaluru," Yelahanka 4th Phase, Yelahanka, Near Manasa Trinity Heart Hospital, Bengaluru North, Bengaluru, Karnataka 560064","13.106267,77.5775387",0721 7888 360 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bengaluru," Kanshiram Nagar, Vaderahalli, Opposite Karnataka Bank, Bengaluru North, Bengaluru, Karnataka 560097","13.0903735,77.5397586",0782 7924 987 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bengaluru," Vidyaranyapura Main Road, Bengaluru North, Bengaluru, Karnataka 560097","13.0752313,77.5576656",0782 7049 849 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bengaluru," K Narayanpura Road, Hennur, Opposite Tawoon Café, Bengaluru North, Bengaluru, Karnataka 560077","13.0643185,77.6483373",0870 0278 332 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bengaluru," Cauvery B Ed College, Defence Layout, Sahakar Nagar, Bengaluru North, Bengaluru, Karnataka 560092","13.0607617,77.5818538",0931 5913 452 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Bengaluru," Hesaraghatta Road, Near Triveni School, Hesaraghatta, Bengaluru, Karnataka 560073","13.05451,77.50773825",0,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Thoubal," Indo-Mayanmar Road, Kakching Lamkhai, Kakching, Thoubal, Manipur 795103","24.4988558,94.0123231",0708 6042 675 ,10:00 AM to 09:00 PM
