store_name,city_name,full_address,Coordinates(Longtude/Latitude),phone_no,store_timing
 Vishal Mega Mart ,Gaya," AP Colony, Near Asha Singh More, AP Colony, Gaya, Bihar 823001","24.7863297,84.9847176",0798 7253 938 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Korba," Stadium Road, Opposite Hotel Centre Point, Transport Nagar, Korba, Chhattisgarh 495677","22.3438264,82.7103635",0721 7888 141 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Darbhanga," VIP Road, Balbhadurapur, Laharia Sari, Benta, Laheriasarai, Darbhanga, Bihar 846004","26.1238156,85.9029717",0750 0552 206 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nalanda," Sakunat Kala, Bihar Sharif, Nalanda, Bihar 803101","25.1991579,85.5340003",0931 5484 492 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Durg," Smriti Nagar, Near Hi-Tek Super Speciality Hospital, Bhilai, Durg, Chhattisgarh 490020","21.21567,81.32261",0900 9127 689 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Rajnandgaon," Ward No 6 ,Chouhan, Contractor Colony, Sirsa K, Near Ganj Circle, Lakholi, Rajnandgaon, Chhattisgarh 491441","21.0906846,81.0420616",0782 7940 196 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Durg," Ward No 6, Chouhan, Contractor Colony, Sirsa K, Oppsite Maurya Talkies, Bhilai, Durg, Chhattisgarh 490001","21.2089744,81.3581489",0721 7888 143 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Nawada," Gaya Road, Sadbhawna Chowk, Near Church, St. Joseph School, Roh, Nawada, Bihar 805110","24.87962,85.53952",0983 5998 046 ,09:00 AM to 10:00 PM
 Vishal Mega Mart ,Raipur," Pandri Main Road, Nardha - Raipur Marg, Near Landmark Hotel, Pandri, Raipur, Chhattisgarh 492004","21.2567623,81.6532576",0935 4575 156 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Raipur," Great Eastern Road, Amapara, Chowk, Rright Side Guru Ghasi Das Plaza, Mominpara, Raipur, Chhattisgarh 492001","21.2403774,81.6250728",0721 7888 082 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Raipur," Pujari Complex, Abhanpur Road, Near Pachpedi Naka, Tagore Nagar, Raipur, Chhattisgarh 492001","21.2229359,81.6460716",0935 4575 154 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Begusarai," Barauni - Purnea Highway, Opposite Railway Station, Sarvodaya Nagar, Begusarai, Bihar 851101","25.4245035,86.1326169",0930 8461 665 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Hazaribag," Kallu Chowk, Near Indrapuri Chowk, Okni, Hazaribag, Jharkhand 825301","24.003593,85.3525693",0721 7888 315 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Lakhisarai," Khata No 466, Matharkhagur Mohalla, Ramgarh Chowkq, Lakhisarai, Bihar 811311","25.1802775,86.0939104",0828 7515 540 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Mahasamund," BTI Road, Opposite Bandhan Bank, Barounda Chowk, Mahasamund, Chhattisgarh 493445","21.1028727,82.0918196",0909 8143 313 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Raigarh," Subhash Chowk, Alok City Mall, Rajiv Nagar, Raigarh, Chhattisgarh 496001","21.8943184,83.3935197",0986 1207 633 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Saharsa," Purab Bazaar, Opposite Hotel Pardesi Pardo, Sant Nagar, Saharsa, Bihar 852201","25.877338,86.598911",0828 7515 529 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ramgarh," Thana Chowk, Satkaudi Complex, Ramgarh Cantonment, Ramgarh, Jharkhand 829122","23.6356478,85.5135213",0721 7888 310 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ranchi," Panchwati Tower, Harmu Road, Near Goswala, Kumhartoli, Ranchi, Jharkhand 834001","23.3764547,85.3143455",0721 7888 011 ,09:00 AM to 06:00 PM
 Vishal Mega Mart ,Ranchi," Sudha Complex, Main Road, Opposite Sankat Mochan Hanuman Mandir, Nayatoli, Ranchi, Jharkhand 834001","23.367415,85.3249015",0943 2474 850 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Ranchi," Booty Road, GP Complex, Bajra - Bariatu Road, Near DAV School, Bariatu, Ranchi, Jharkhand 834009","23.4004806,85.3572246",0782 7933 969 ,10:00 AM to 09:00 PM
 Vishal Mega Mart ,Valsad," CM 66, 67, Fortune Mall, VIA Road, GIDC, Vapi, Valsad, Gujarat 396195","20.3685485,72.9244908",0721 7888 142 ,10:00 AM to 09:00 PM
